Location,Area,Condition,Flooring,Haunted,Illegal,Costly
2,1293,4,3,1,0,-1
3,5160,4,1,0,0,1
-1,318,2,1,1,0,-1
-2,2998,5,1,1,0,-1
-1,1487,6,3,0,1,-1
3,5154,5,4,0,0,1
3,4103,3,2,1,1,1
-1,8003,6,2,0,0,1
3,749,4,2,1,0,-1
-2,6611,2,4,1,1,1
-1,5570,5,2,0,0,1
-1,2763,1,1,0,1,-1
-1,9602,6,3,1,0,1
-2,2414,1,1,1,1,-1
0,6391,1,1,1,0,1
1,7938,2,3,0,1,1
-1,7728,6,1,0,1,1
-2,1412,5,1,1,0,-1
-1,5536,6,3,0,1,1
-2,1395,2,2,0,1,-1
0,2355,1,4,1,0,-1
2,8736,3,4,0,1,1
-1,4555,1,4,1,1,1
-1,6911,5,4,0,1,1
0,6074,4,2,0,1,1
-1,8166,5,4,1,1,1
3,1962,3,4,0,1,-1
1,7090,4,3,0,0,1
1,2216,2,1,1,1,-1
3,3204,1,5,1,1,-1
2,4032,4,2,0,1,1
-1,8975,6,2,1,0,1
-1,8489,4,2,0,1,1
2,2202,3,4,1,1,-1
1,6994,2,4,1,0,1
1,5326,3,4,0,1,1
1,5335,2,2,0,1,1
2,8278,3,3,0,0,1
3,6466,3,4,0,0,1
-2,8191,5,2,0,1,1
0,4789,6,4,1,1,1
1,949,5,2,1,1,-1
3,8061,5,3,0,0,1
-2,1575,5,5,0,1,-1
-1,3800,2,2,1,1,-1
1,3870,6,5,1,1,-1
-2,2520,2,4,1,1,-1
2,4964,6,4,1,1,1
3,9681,1,5,1,0,1
2,2326,4,5,1,0,-1
-1,5728,2,2,0,0,1
1,4503,6,4,0,1,1
0,204,6,1,1,1,-1
1,7239,3,3,1,0,1
2,1829,1,1,1,0,-1
-1,4674,3,1,1,0,1
-2,1756,1,2,0,1,-1
2,3698,1,1,1,1,-1
1,1556,2,3,0,1,-1
-1,5118,6,2,1,1,1
-2,9510,5,4,1,0,1
2,8995,5,1,1,0,1
0,3878,2,5,0,0,-1
1,820,1,1,1,1,-1
2,4241,6,5,0,1,1
-2,7703,2,1,0,0,1
-2,3984,2,3,0,0,-1
2,9487,1,4,0,1,1
2,668,4,2,0,1,-1
1,2151,6,2,1,1,-1
2,4201,6,4,0,1,1
1,6270,6,4,0,0,1
-2,5795,1,1,0,0,1
1,7095,1,2,0,1,1
-1,390,5,3,0,0,-1
2,2875,6,3,1,1,-1
2,2902,5,2,0,1,-1
3,576,1,5,0,1,-1
2,7327,2,2,0,0,1
0,6658,5,3,0,0,1
-2,4067,3,2,1,0,1
0,5898,6,4,0,0,1
3,6115,2,3,1,0,1
1,313,4,1,0,1,-1
3,9767,5,1,0,0,1
0,2823,2,2,0,1,-1
-1,2169,2,2,0,1,-1
2,4841,1,1,1,1,1
-1,3159,6,4,0,0,-1
-1,7055,5,1,0,0,1
1,8749,4,5,1,1,1
2,3341,4,3,0,0,-1
3,7913,6,5,1,1,1
-1,9522,1,1,0,0,1
-1,2956,4,3,0,1,-1
1,9154,2,2,1,1,1
1,6221,1,2,1,1,1
2,7015,2,3,0,0,1
-1,7008,3,3,1,0,1
-2,1937,3,4,0,0,-1
0,8346,2,4,1,0,1
3,1205,6,5,0,0,-1
2,2493,2,3,1,0,-1
0,1860,4,1,1,1,-1
3,5572,2,1,0,1,1
0,5784,6,4,0,1,1
1,3070,4,2,1,0,-1
0,3950,3,2,1,0,-1
3,3616,6,5,1,0,-1
2,457,1,1,0,1,-1
3,806,4,4,0,0,-1
-2,6173,3,5,1,1,1
1,1390,6,1,1,1,-1
1,4893,3,5,1,1,1
3,1770,2,4,1,1,-1
0,8901,2,3,0,0,1
3,3156,6,2,0,1,-1
-1,6657,2,1,0,1,1
1,3595,3,5,0,1,-1
3,7189,6,4,1,0,1
-1,8323,1,1,1,1,1
3,7265,2,4,1,1,1
3,4169,6,1,1,1,1
3,9593,5,1,1,1,1
3,6326,3,3,0,1,1
3,7677,1,5,0,1,1
2,7888,2,5,0,1,1
3,6669,5,4,0,1,1
